Scopus-6442-Analyze-Year

"Your query : (TITLE-ABS-KEY(difference-in-differences) AND ( LIMIT-TO ( SUBJAREA,""ECON"" ) ) )"


Number of results : 6442

"YEAR",
"2023","1402"
"2022","1002"
"2021","766"
"2020","610"
"2019","509"
"2018","420"
"2017","360"
"2016","279"
"2015","219"
"2014","174"
"2013","152"
"2012","102"
"2011","103"
"2010","79"
"2009","73"
"2008","45"
"2007","37"
"2006","25"
"2005","25"
"2004","19"
"2003","10"
"2002","7"
"2001","7"
"2000","3"
"1999","6"
"1998","3"
"1997","2"
"1995","1"
"1994","2"
